fecha,store_id,producto_id,stock_disponible,stock_transito
2024-03-30,S001,CEP-001,16,7
2024-03-30,S001,CEP-002,21,4
2024-03-30,S001,CEP-003,15,0
2024-03-30,S001,CEP-004,22,4
2024-03-30,S001,CEP-005,25,9
2024-03-30,S001,DES-001,123,21
2024-03-30,S001,DES-002,133,17
2024-03-30,S001,DES-003,126,0
2024-03-30,S001,DES-004,105,11
2024-03-30,S001,DES-005,120,0
2024-03-30,S001,DES-006,112,0
2024-03-30,S001,DES-007,118,0
2024-03-30,S001,DES-008,105,0
2024-03-30,S001,DES-009,127,0
2024-03-30,S001,DES-010,118,16
2024-03-30,S001,DES-011,98,11
2024-03-30,S001,DES-012,98,0
2024-03-30,S001,DES-013,124,5
2024-03-30,S001,DES-014,100,0
2024-03-30,S001,DES-015,123,16
2024-03-30,S001,ESM-001,19,0
2024-03-30,S001,ESM-002,24,0
2024-03-30,S001,ESM-003,27,5
2024-03-30,S001,ESM-004,14,0
2024-03-30,S001,ESM-005,17,0
2024-03-30,S001,ESM-006,16,5
2024-03-30,S001,ESM-007,21,4
2024-03-30,S001,ESM-008,19,0
2024-03-30,S001,ESM-009,17,5
2024-03-30,S001,ESM-010,21,8
2024-03-30,S001,SIE-001,8,0
2024-03-30,S001,SIE-002,7,0
2024-03-30,S001,SIE-003,10,0
2024-03-30,S001,SIE-004,8,2
2024-03-30,S001,SIE-005,9,0
2024-03-30,S001,SIE-006,6,2
2024-03-30,S001,TAL-001,11,0
2024-03-30,S001,TAL-002,13,5
2024-03-30,S001,TAL-003,8,2
2024-03-30,S001,TAL-004,9,2
2024-03-30,S001,TAL-005,10,0
2024-03-30,S001,TAL-006,8,2
2024-03-30,S001,TAL-007,15,2
2024-03-30,S001,TAL-008,12,3
2024-03-30,S002,CEP-001,21,7
2024-03-30,S002,CEP-002,15,0
2024-03-30,S002,CEP-003,20,0
2024-03-30,S002,CEP-004,20,4
2024-03-30,S002,CEP-005,21,0
2024-03-30,S002,DES-001,111,21
2024-03-30,S002,DES-002,90,0
2024-03-30,S002,DES-003,117,0
2024-03-30,S002,DES-004,130,0
2024-03-30,S002,DES-005,85,11
2024-03-30,S002,DES-006,128,17
2024-03-30,S002,DES-007,117,6
2024-03-30,S002,DES-008,110,0
2024-03-30,S002,DES-009,108,0
2024-03-30,S002,DES-010,97,16
2024-03-30,S002,DES-011,107,11
2024-03-30,S002,DES-012,95,11
2024-03-30,S002,DES-013,108,0
2024-03-30,S002,DES-014,106,21
2024-03-30,S002,DES-015,116,16
2024-03-30,S002,ESM-001,15,0
2024-03-30,S002,ESM-002,14,0
2024-03-30,S002,ESM-003,24,5
2024-03-30,S002,ESM-004,25,0
2024-03-30,S002,ESM-005,16,0
2024-03-30,S002,ESM-006,25,0
2024-03-30,S002,ESM-007,18,4
2024-03-30,S002,ESM-008,19,0
2024-03-30,S002,ESM-009,14,0
2024-03-30,S002,ESM-010,16,0
2024-03-30,S002,SIE-001,6,0
2024-03-30,S002,SIE-002,8,2
2024-03-30,S002,SIE-003,8,0
2024-03-30,S002,SIE-004,6,0
2024-03-30,S002,SIE-005,8,0
2024-03-30,S002,SIE-006,9,0
2024-03-30,S002,TAL-001,9,0
2024-03-30,S002,TAL-002,10,5
2024-03-30,S002,TAL-003,9,2
2024-03-30,S002,TAL-004,8,2
2024-03-30,S002,TAL-005,10,0
2024-03-30,S002,TAL-006,7,0
2024-03-30,S002,TAL-007,8,0
2024-03-30,S002,TAL-008,12,3
2024-03-30,S003,CEP-001,15,0
2024-03-30,S003,CEP-002,11,3
2024-03-30,S003,CEP-003,13,6
2024-03-30,S003,CEP-004,12,2
2024-03-30,S003,CEP-005,16,6
2024-03-30,S003,DES-001,58,16
2024-03-30,S003,DES-002,93,12
2024-03-30,S003,DES-003,95,8
2024-03-30,S003,DES-004,61,8
2024-03-30,S003,DES-005,53,7
2024-03-30,S003,DES-006,57,0
2024-03-30,S003,DES-007,81,4
2024-03-30,S003,DES-008,61,0
2024-03-30,S003,DES-009,94,8
2024-03-30,S003,DES-010,60,12
2024-03-30,S003,DES-011,68,0
2024-03-30,S003,DES-012,69,8
2024-03-30,S003,DES-013,76,4
2024-03-30,S003,DES-014,58,15
2024-03-30,S003,DES-015,77,0
2024-03-30,S003,ESM-001,15,0
2024-03-30,S003,ESM-002,11,0
2024-03-30,S003,ESM-003,14,4
2024-03-30,S003,ESM-004,16,0
2024-03-30,S003,ESM-005,18,0
2024-03-30,S003,ESM-006,17,4
2024-03-30,S003,ESM-007,15,3
2024-03-30,S003,ESM-008,15,4
2024-03-30,S003,ESM-009,11,3
2024-03-30,S003,ESM-010,17,5
2024-03-30,S003,SIE-001,6,0
2024-03-30,S003,SIE-002,7,0
2024-03-30,S003,SIE-003,8,0
2024-03-30,S003,SIE-004,5,0
2024-03-30,S003,SIE-005,5,0
2024-03-30,S003,SIE-006,4,0
2024-03-30,S003,TAL-001,6,0
2024-03-30,S003,TAL-002,7,0
2024-03-30,S003,TAL-003,9,1
2024-03-30,S003,TAL-004,9,0
2024-03-30,S003,TAL-005,9,4
2024-03-30,S003,TAL-006,8,0
2024-03-30,S003,TAL-007,7,0
2024-03-30,S003,TAL-008,6,2
2024-03-30,S004,CEP-001,14,0
2024-03-30,S004,CEP-002,13,3
2024-03-30,S004,CEP-003,16,0
2024-03-30,S004,CEP-004,12,0
2024-03-30,S004,CEP-005,12,6
2024-03-30,S004,DES-001,64,15
2024-03-30,S004,DES-002,56,11
2024-03-30,S004,DES-003,73,8
2024-03-30,S004,DES-004,75,8
2024-03-30,S004,DES-005,56,7
2024-03-30,S004,DES-006,70,0
2024-03-30,S004,DES-007,93,4
2024-03-30,S004,DES-008,61,11
2024-03-30,S004,DES-009,78,7
2024-03-30,S004,DES-010,58,12
2024-03-30,S004,DES-011,83,8
2024-03-30,S004,DES-012,74,7
2024-03-30,S004,DES-013,78,0
2024-03-30,S004,DES-014,83,0
2024-03-30,S004,DES-015,86,11
2024-03-30,S004,ESM-001,20,5
2024-03-30,S004,ESM-002,11,5
2024-03-30,S004,ESM-003,12,3
2024-03-30,S004,ESM-004,17,0
2024-03-30,S004,ESM-005,12,3
2024-03-30,S004,ESM-006,12,4
2024-03-30,S004,ESM-007,13,3
2024-03-30,S004,ESM-008,11,0
2024-03-30,S004,ESM-009,13,0
2024-03-30,S004,ESM-010,13,5
2024-03-30,S004,SIE-001,6,0
2024-03-30,S004,SIE-002,5,2
2024-03-30,S004,SIE-003,5,0
2024-03-30,S004,SIE-004,6,0
2024-03-30,S004,SIE-005,4,0
2024-03-30,S004,SIE-006,7,2
2024-03-30,S004,TAL-001,5,2
2024-03-30,S004,TAL-002,6,0
2024-03-30,S004,TAL-003,7,0
2024-03-30,S004,TAL-004,6,0
2024-03-30,S004,TAL-005,7,4
2024-03-30,S004,TAL-006,10,0
2024-03-30,S004,TAL-007,10,0
2024-03-30,S004,TAL-008,9,0
