fecha,store_id,producto_id,unidades_vendidas
2024-01-01,S001,ESM-001,2
2024-01-01,S001,ESM-002,3
2024-01-01,S001,ESM-003,2
2024-01-01,S001,ESM-004,1
2024-01-01,S001,ESM-005,1
2024-01-01,S001,ESM-006,1
2024-01-01,S001,ESM-007,0
2024-01-01,S001,ESM-008,0
2024-01-01,S001,ESM-009,1
2024-01-01,S001,ESM-010,1
2024-01-01,S001,DES-001,3
2024-01-01,S001,DES-002,3
2024-01-01,S001,DES-003,5
2024-01-01,S001,DES-004,6
2024-01-01,S001,DES-005,8
2024-01-01,S001,DES-006,4
2024-01-01,S001,DES-007,5
2024-01-01,S001,DES-008,6
2024-01-01,S001,DES-009,4
2024-01-01,S001,DES-010,7
2024-01-01,S001,DES-011,6
2024-01-01,S001,DES-012,5
2024-01-01,S001,DES-013,6
2024-01-01,S001,DES-014,7
2024-01-01,S001,DES-015,6
2024-01-01,S001,TAL-001,2
2024-01-01,S001,TAL-002,3
2024-01-01,S001,TAL-003,1
2024-01-01,S001,TAL-004,1
2024-01-01,S001,TAL-005,0
2024-01-01,S001,TAL-006,2
2024-01-01,S001,TAL-007,1
2024-01-01,S001,TAL-008,0
2024-01-01,S001,SIE-001,1
2024-01-01,S001,SIE-002,0
2024-01-01,S001,SIE-003,1
2024-01-01,S001,SIE-004,1
2024-01-01,S001,SIE-005,1
2024-01-01,S001,SIE-006,0
2024-01-01,S001,CEP-001,1
2024-01-01,S001,CEP-002,1
2024-01-01,S001,CEP-003,1
2024-01-01,S001,CEP-004,1
2024-01-01,S001,CEP-005,1
2024-01-01,S002,ESM-001,1
2024-01-01,S002,ESM-002,0
2024-01-01,S002,ESM-003,0
2024-01-01,S002,ESM-004,1
2024-01-01,S002,ESM-005,1
2024-01-01,S002,ESM-006,3
2024-01-01,S002,ESM-007,0
2024-01-01,S002,ESM-008,1
2024-01-01,S002,ESM-009,0
2024-01-01,S002,ESM-010,0
2024-01-01,S002,DES-001,3
2024-01-01,S002,DES-002,4
2024-01-01,S002,DES-003,6
2024-01-01,S002,DES-004,3
2024-01-01,S002,DES-005,4
2024-01-01,S002,DES-006,6
2024-01-01,S002,DES-007,5
2024-01-01,S002,DES-008,6
2024-01-01,S002,DES-009,7
2024-01-01,S002,DES-010,7
2024-01-01,S002,DES-011,2
2024-01-01,S002,DES-012,7
2024-01-01,S002,DES-013,4
2024-01-01,S002,DES-014,5
2024-01-01,S002,DES-015,4
2024-01-01,S002,TAL-001,0
2024-01-01,S002,TAL-002,1
2024-01-01,S002,TAL-003,1
2024-01-01,S002,TAL-004,1
2024-01-01,S002,TAL-005,1
2024-01-01,S002,TAL-006,0
2024-01-01,S002,TAL-007,2
2024-01-01,S002,TAL-008,0
2024-01-01,S002,SIE-001,1
2024-01-01,S002,SIE-002,0
2024-01-01,S002,SIE-003,1
2024-01-01,S002,SIE-004,0
2024-01-01,S002,SIE-005,1
2024-01-01,S002,SIE-006,1
2024-01-01,S002,CEP-001,2
2024-01-01,S002,CEP-002,1
2024-01-01,S002,CEP-003,0
2024-01-01,S002,CEP-004,1
2024-01-01,S002,CEP-005,1
2024-01-01,S003,ESM-001,2
2024-01-01,S003,ESM-002,0
2024-01-01,S003,ESM-003,2
2024-01-01,S003,ESM-004,1
2024-01-01,S003,ESM-005,1
2024-01-01,S003,ESM-006,1
2024-01-01,S003,ESM-007,1
2024-01-01,S003,ESM-008,1
2024-01-01,S003,ESM-009,1
2024-01-01,S003,ESM-010,1
2024-01-01,S003,DES-001,3
2024-01-01,S003,DES-002,5
2024-01-01,S003,DES-003,3
2024-01-01,S003,DES-004,6
2024-01-01,S003,DES-005,5
2024-01-01,S003,DES-006,3
2024-01-01,S003,DES-007,5
2024-01-01,S003,DES-008,5
2024-01-01,S003,DES-009,2
2024-01-01,S003,DES-010,2
2024-01-01,S003,DES-011,4
2024-01-01,S003,DES-012,5
2024-01-01,S003,DES-013,5
2024-01-01,S003,DES-014,4
2024-01-01,S003,DES-015,6
2024-01-01,S003,TAL-001,0
2024-01-01,S003,TAL-002,0
2024-01-01,S003,TAL-003,1
2024-01-01,S003,TAL-004,1
2024-01-01,S003,TAL-005,0
2024-01-01,S003,TAL-006,1
2024-01-01,S003,TAL-007,1
2024-01-01,S003,TAL-008,0
2024-01-01,S003,SIE-001,0
2024-01-01,S003,SIE-002,0
2024-01-01,S003,SIE-003,0
2024-01-01,S003,SIE-004,1
2024-01-01,S003,SIE-005,1
2024-01-01,S003,SIE-006,1
2024-01-01,S003,CEP-001,1
2024-01-01,S003,CEP-002,1
2024-01-01,S003,CEP-003,1
2024-01-01,S003,CEP-004,1
2024-01-01,S003,CEP-005,0
2024-01-01,S004,ESM-001,1
2024-01-01,S004,ESM-002,0
2024-01-01,S004,ESM-003,1
2024-01-01,S004,ESM-004,0
2024-01-01,S004,ESM-005,1
2024-01-01,S004,ESM-006,1
2024-01-01,S004,ESM-007,2
2024-01-01,S004,ESM-008,2
2024-01-01,S004,ESM-009,0
2024-01-01,S004,ESM-010,1
2024-01-01,S004,DES-001,4
2024-01-01,S004,DES-002,3
2024-01-01,S004,DES-003,7
2024-01-01,S004,DES-004,2
2024-01-01,S004,DES-005,4
2024-01-01,S004,DES-006,3
2024-01-01,S004,DES-007,3
2024-01-01,S004,DES-008,3
2024-01-01,S004,DES-009,5
2024-01-01,S004,DES-010,4
2024-01-01,S004,DES-011,4
2024-01-01,S004,DES-012,2
2024-01-01,S004,DES-013,5
2024-01-01,S004,DES-014,4
2024-01-01,S004,DES-015,5
2024-01-01,S004,TAL-001,1
2024-01-01,S004,TAL-002,1
2024-01-01,S004,TAL-003,1
2024-01-01,S004,TAL-004,1
2024-01-01,S004,TAL-005,0
2024-01-01,S004,TAL-006,1
2024-01-01,S004,TAL-007,0
2024-01-01,S004,TAL-008,2
2024-01-01,S004,SIE-001,1
2024-01-01,S004,SIE-002,0
2024-01-01,S004,SIE-003,1
2024-01-01,S004,SIE-004,1
2024-01-01,S004,SIE-005,0
2024-01-01,S004,SIE-006,0
2024-01-01,S004,CEP-001,1
2024-01-01,S004,CEP-002,1
2024-01-01,S004,CEP-003,1
2024-01-01,S004,CEP-004,2
2024-01-01,S004,CEP-005,1
2024-01-02,S001,ESM-001,3
2024-01-02,S001,ESM-002,1
2024-01-02,S001,ESM-003,2
2024-01-02,S001,ESM-004,2
2024-01-02,S001,ESM-005,2
2024-01-02,S001,ESM-006,1
2024-01-02,S001,ESM-007,2
2024-01-02,S001,ESM-008,3
2024-01-02,S001,ESM-009,1
2024-01-02,S001,ESM-010,1
2024-01-02,S001,DES-001,8
2024-01-02,S001,DES-002,5
2024-01-02,S001,DES-003,4
2024-01-02,S001,DES-004,5
2024-01-02,S001,DES-005,5
2024-01-02,S001,DES-006,6
2024-01-02,S001,DES-007,6
2024-01-02,S001,DES-008,4
2024-01-02,S001,DES-009,6
2024-01-02,S001,DES-010,3
2024-01-02,S001,DES-011,5
2024-01-02,S001,DES-012,6
2024-01-02,S001,DES-013,5
2024-01-02,S001,DES-014,4
2024-01-02,S001,DES-015,8
2024-01-02,S001,TAL-001,1
2024-01-02,S001,TAL-002,2
2024-01-02,S001,TAL-003,1
2024-01-02,S001,TAL-004,1
2024-01-02,S001,TAL-005,0
2024-01-02,S001,TAL-006,0
2024-01-02,S001,TAL-007,1
2024-01-02,S001,TAL-008,1
2024-01-02,S001,SIE-001,1
2024-01-02,S001,SIE-002,0
2024-01-02,S001,SIE-003,1
2024-01-02,S001,SIE-004,2
2024-01-02,S001,SIE-005,2
2024-01-02,S001,SIE-006,0
2024-01-02,S001,CEP-001,1
2024-01-02,S001,CEP-002,2
2024-01-02,S001,CEP-003,1
2024-01-02,S001,CEP-004,1
2024-01-02,S001,CEP-005,1
2024-01-02,S002,ESM-001,4
2024-01-02,S002,ESM-002,3
2024-01-02,S002,ESM-003,1
2024-01-02,S002,ESM-004,2
2024-01-02,S002,ESM-005,2
2024-01-02,S002,ESM-006,2
2024-01-02,S002,ESM-007,1
2024-01-02,S002,ESM-008,0
2024-01-02,S002,ESM-009,2
2024-01-02,S002,ESM-010,0
2024-01-02,S002,DES-001,7
2024-01-02,S002,DES-002,5
2024-01-02,S002,DES-003,6
2024-01-02,S002,DES-004,8
2024-01-02,S002,DES-005,5
2024-01-02,S002,DES-006,6
2024-01-02,S002,DES-007,5
2024-01-02,S002,DES-008,5
2024-01-02,S002,DES-009,5
2024-01-02,S002,DES-010,5
2024-01-02,S002,DES-011,6
2024-01-02,S002,DES-012,6
2024-01-02,S002,DES-013,6
2024-01-02,S002,DES-014,8
2024-01-02,S002,DES-015,5
2024-01-02,S002,TAL-001,2
2024-01-02,S002,TAL-002,1
2024-01-02,S002,TAL-003,1
2024-01-02,S002,TAL-004,1
2024-01-02,S002,TAL-005,0
2024-01-02,S002,TAL-006,2
2024-01-02,S002,TAL-007,1
2024-01-02,S002,TAL-008,2
2024-01-02,S002,SIE-001,0
2024-01-02,S002,SIE-002,1
2024-01-02,S002,SIE-003,0
2024-01-02,S002,SIE-004,1
2024-01-02,S002,SIE-005,0
2024-01-02,S002,SIE-006,1
2024-01-02,S002,CEP-001,0
2024-01-02,S002,CEP-002,2
2024-01-02,S002,CEP-003,1
2024-01-02,S002,CEP-004,1
2024-01-02,S002,CEP-005,1
2024-01-02,S003,ESM-001,2
2024-01-02,S003,ESM-002,0
2024-01-02,S003,ESM-003,1
2024-01-02,S003,ESM-004,0
2024-01-02,S003,ESM-005,2
2024-01-02,S003,ESM-006,1
2024-01-02,S003,ESM-007,2
2024-01-02,S003,ESM-008,0
2024-01-02,S003,ESM-009,0
2024-01-02,S003,ESM-010,2
2024-01-02,S003,DES-001,5
2024-01-02,S003,DES-002,3
2024-01-02,S003,DES-003,5
2024-01-02,S003,DES-004,4
2024-01-02,S003,DES-005,4
2024-01-02,S003,DES-006,5
2024-01-02,S003,DES-007,2
2024-01-02,S003,DES-008,2
2024-01-02,S003,DES-009,5
2024-01-02,S003,DES-010,3
2024-01-02,S003,DES-011,3
2024-01-02,S003,DES-012,6
2024-01-02,S003,DES-013,4
2024-01-02,S003,DES-014,4
2024-01-02,S003,DES-015,5
2024-01-02,S003,TAL-001,0
2024-01-02,S003,TAL-002,1
2024-01-02,S003,TAL-003,2
2024-01-02,S003,TAL-004,0
2024-01-02,S003,TAL-005,1
2024-01-02,S003,TAL-006,0
2024-01-02,S003,TAL-007,1
2024-01-02,S003,TAL-008,1
2024-01-02,S003,SIE-001,0
2024-01-02,S003,SIE-002,1
2024-01-02,S003,SIE-003,0
2024-01-02,S003,SIE-004,1
2024-01-02,S003,SIE-005,1
2024-01-02,S003,SIE-006,0
2024-01-02,S003,CEP-001,2
2024-01-02,S003,CEP-002,1
2024-01-02,S003,CEP-003,0
2024-01-02,S003,CEP-004,1
2024-01-02,S003,CEP-005,0
2024-01-02,S004,ESM-001,2
2024-01-02,S004,ESM-002,1
2024-01-02,S004,ESM-003,1
2024-01-02,S004,ESM-004,2
2024-01-02,S004,ESM-005,1
2024-01-02,S004,ESM-006,1
2024-01-02,S004,ESM-007,1
2024-01-02,S004,ESM-008,1
2024-01-02,S004,ESM-009,2
2024-01-02,S004,ESM-010,1
2024-01-02,S004,DES-001,3
2024-01-02,S004,DES-002,3
2024-01-02,S004,DES-003,4
2024-01-02,S004,DES-004,3
2024-01-02,S004,DES-005,2
2024-01-02,S004,DES-006,2
2024-01-02,S004,DES-007,3
2024-01-02,S004,DES-008,4
2024-01-02,S004,DES-009,4
2024-01-02,S004,DES-010,3
2024-01-02,S004,DES-011,3
2024-01-02,S004,DES-012,3
2024-01-02,S004,DES-013,3
2024-01-02,S004,DES-014,4
2024-01-02,S004,DES-015,2
2024-01-02,S004,TAL-001,0
2024-01-02,S004,TAL-002,0
2024-01-02,S004,TAL-003,1
2024-01-02,S004,TAL-004,2
2024-01-02,S004,TAL-005,1
2024-01-02,S004,TAL-006,1
2024-01-02,S004,TAL-007,1
2024-01-02,S004,TAL-008,1
2024-01-02,S004,SIE-001,0
2024-01-02,S004,SIE-002,0
2024-01-02,S004,SIE-003,0
2024-01-02,S004,SIE-004,1
2024-01-02,S004,SIE-005,1
2024-01-02,S004,SIE-006,0
2024-01-02,S004,CEP-001,1
2024-01-02,S004,CEP-002,1
2024-01-02,S004,CEP-003,1
2024-01-02,S004,CEP-004,1
2024-01-02,S004,CEP-005,1
2024-01-03,S001,ESM-001,2
2024-01-03,S001,ESM-002,2
2024-01-03,S001,ESM-003,0
2024-01-03,S001,ESM-004,1
2024-01-03,S001,ESM-005,1
2024-01-03,S001,ESM-006,2
2024-01-03,S001,ESM-007,1
2024-01-03,S001,ESM-008,2
2024-01-03,S001,ESM-009,1
2024-01-03,S001,ESM-010,2
2024-01-03,S001,DES-001,8
2024-01-03,S001,DES-002,4
2024-01-03,S001,DES-003,5
2024-01-03,S001,DES-004,7
2024-01-03,S001,DES-005,4
2024-01-03,S001,DES-006,4
2024-01-03,S001,DES-007,4
2024-01-03,S001,DES-008,6
2024-01-03,S001,DES-009,7
2024-01-03,S001,DES-010,4
2024-01-03,S001,DES-011,5
2024-01-03,S001,DES-012,7
2024-01-03,S001,DES-013,7
2024-01-03,S001,DES-014,3
2024-01-03,S001,DES-015,4
2024-01-03,S001,TAL-001,1
2024-01-03,S001,TAL-002,1
2024-01-03,S001,TAL-003,0
2024-01-03,S001,TAL-004,1
2024-01-03,S001,TAL-005,2
2024-01-03,S001,TAL-006,0
2024-01-03,S001,TAL-007,2
2024-01-03,S001,TAL-008,0
2024-01-03,S001,SIE-001,0
2024-01-03,S001,SIE-002,1
2024-01-03,S001,SIE-003,0
2024-01-03,S001,SIE-004,1
2024-01-03,S001,SIE-005,1
2024-01-03,S001,SIE-006,0
2024-01-03,S001,CEP-001,1
2024-01-03,S001,CEP-002,1
2024-01-03,S001,CEP-003,0
2024-01-03,S001,CEP-004,1
2024-01-03,S001,CEP-005,2
2024-01-03,S002,ESM-001,3
2024-01-03,S002,ESM-002,2
2024-01-03,S002,ESM-003,0
2024-01-03,S002,ESM-004,1
2024-01-03,S002,ESM-005,1
2024-01-03,S002,ESM-006,2
2024-01-03,S002,ESM-007,3
2024-01-03,S002,ESM-008,4
2024-01-03,S002,ESM-009,1
2024-01-03,S002,ESM-010,1
2024-01-03,S002,DES-001,6
2024-01-03,S002,DES-002,4
2024-01-03,S002,DES-003,8
2024-01-03,S002,DES-004,6
2024-01-03,S002,DES-005,8
2024-01-03,S002,DES-006,7
2024-01-03,S002,DES-007,6
2024-01-03,S002,DES-008,5
2024-01-03,S002,DES-009,7
2024-01-03,S002,DES-010,5
2024-01-03,S002,DES-011,9
2024-01-03,S002,DES-012,4
2024-01-03,S002,DES-013,3
2024-01-03,S002,DES-014,6
2024-01-03,S002,DES-015,9
2024-01-03,S002,TAL-001,0
2024-01-03,S002,TAL-002,3
2024-01-03,S002,TAL-003,0
2024-01-03,S002,TAL-004,1
2024-01-03,S002,TAL-005,1
2024-01-03,S002,TAL-006,1
2024-01-03,S002,TAL-007,0
2024-01-03,S002,TAL-008,1
2024-01-03,S002,SIE-001,1
2024-01-03,S002,SIE-002,0
2024-01-03,S002,SIE-003,1
2024-01-03,S002,SIE-004,1
2024-01-03,S002,SIE-005,0
2024-01-03,S002,SIE-006,0
2024-01-03,S002,CEP-001,1
2024-01-03,S002,CEP-002,0
2024-01-03,S002,CEP-003,2
2024-01-03,S002,CEP-004,0
2024-01-03,S002,CEP-005,1
2024-01-03,S003,ESM-001,1
2024-01-03,S003,ESM-002,1
2024-01-03,S003,ESM-003,1
2024-01-03,S003,ESM-004,1
2024-01-03,S003,ESM-005,1
2024-01-03,S003,ESM-006,0
2024-01-03,S003,ESM-007,0
2024-01-03,S003,ESM-008,1
2024-01-03,S003,ESM-009,2
2024-01-03,S003,ESM-010,0
2024-01-03,S003,DES-001,4
2024-01-03,S003,DES-002,3
2024-01-03,S003,DES-003,4
2024-01-03,S003,DES-004,5
2024-01-03,S003,DES-005,5
2024-01-03,S003,DES-006,4
2024-01-03,S003,DES-007,5
2024-01-03,S003,DES-008,3
2024-01-03,S003,DES-009,4
2024-01-03,S003,DES-010,4
2024-01-03,S003,DES-011,4
2024-01-03,S003,DES-012,6
2024-01-03,S003,DES-013,2
2024-01-03,S003,DES-014,2
2024-01-03,S003,DES-015,1
2024-01-03,S003,TAL-001,1
2024-01-03,S003,TAL-002,1
2024-01-03,S003,TAL-003,1
2024-01-03,S003,TAL-004,0
2024-01-03,S003,TAL-005,1
2024-01-03,S003,TAL-006,0
2024-01-03,S003,TAL-007,1
2024-01-03,S003,TAL-008,0
2024-01-03,S003,SIE-001,0
2024-01-03,S003,SIE-002,0
2024-01-03,S003,SIE-003,1
2024-01-03,S003,SIE-004,1
2024-01-03,S003,SIE-005,0
2024-01-03,S003,SIE-006,0
2024-01-03,S003,CEP-001,0
2024-01-03,S003,CEP-002,1
2024-01-03,S003,CEP-003,1
2024-01-03,S003,CEP-004,1
2024-01-03,S003,CEP-005,1
2024-01-03,S004,ESM-001,1
2024-01-03,S004,ESM-002,2
2024-01-03,S004,ESM-003,1
2024-01-03,S004,ESM-004,1
2024-01-03,S004,ESM-005,1
2024-01-03,S004,ESM-006,0
2024-01-03,S004,ESM-007,0
2024-01-03,S004,ESM-008,0
2024-01-03,S004,ESM-009,1
2024-01-03,S004,ESM-010,1
2024-01-03,S004,DES-001,2
2024-01-03,S004,DES-002,2
2024-01-03,S004,DES-003,2
2024-01-03,S004,DES-004,5
2024-01-03,S004,DES-005,5
2024-01-03,S004,DES-006,4
2024-01-03,S004,DES-007,4
2024-01-03,S004,DES-008,1
2024-01-03,S004,DES-009,1
2024-01-03,S004,DES-010,4
2024-01-03,S004,DES-011,2
2024-01-03,S004,DES-012,4
2024-01-03,S004,DES-013,5
2024-01-03,S004,DES-014,3
2024-01-03,S004,DES-015,4
2024-01-03,S004,TAL-001,1
2024-01-03,S004,TAL-002,1
2024-01-03,S004,TAL-003,1
2024-01-03,S004,TAL-004,1
2024-01-03,S004,TAL-005,1
2024-01-03,S004,TAL-006,0
2024-01-03,S004,TAL-007,1
2024-01-03,S004,TAL-008,1
2024-01-03,S004,SIE-001,0
2024-01-03,S004,SIE-002,1
2024-01-03,S004,SIE-003,1
2024-01-03,S004,SIE-004,1
2024-01-03,S004,SIE-005,0
2024-01-03,S004,SIE-006,0
2024-01-03,S004,CEP-001,1
2024-01-03,S004,CEP-002,1
2024-01-03,S004,CEP-003,1
2024-01-03,S004,CEP-004,0
2024-01-03,S004,CEP-005,0
2024-01-04,S001,ESM-001,1
2024-01-04,S001,ESM-002,2
2024-01-04,S001,ESM-003,1
2024-01-04,S001,ESM-004,2
2024-01-04,S001,ESM-005,1
2024-01-04,S001,ESM-006,2
2024-01-04,S001,ESM-007,1
2024-01-04,S001,ESM-008,0
2024-01-04,S001,ESM-009,1
2024-01-04,S001,ESM-010,2
2024-01-04,S001,DES-001,4
2024-01-04,S001,DES-002,8
2024-01-04,S001,DES-003,7
2024-01-04,S001,DES-004,8
2024-01-04,S001,DES-005,7
2024-01-04,S001,DES-006,6
2024-01-04,S001,DES-007,3
2024-01-04,S001,DES-008,7
2024-01-04,S001,DES-009,5
2024-01-04,S001,DES-010,6
2024-01-04,S001,DES-011,6
2024-01-04,S001,DES-012,5
2024-01-04,S001,DES-013,5
2024-01-04,S001,DES-014,4
2024-01-04,S001,DES-015,4
2024-01-04,S001,TAL-001,1
2024-01-04,S001,TAL-002,2
2024-01-04,S001,TAL-003,2
2024-01-04,S001,TAL-004,1
2024-01-04,S001,TAL-005,2
2024-01-04,S001,TAL-006,0
2024-01-04,S001,TAL-007,1
2024-01-04,S001,TAL-008,1
2024-01-04,S001,SIE-001,0
2024-01-04,S001,SIE-002,2
2024-01-04,S001,SIE-003,0
2024-01-04,S001,SIE-004,1
2024-01-04,S001,SIE-005,1
2024-01-04,S001,SIE-006,0
2024-01-04,S001,CEP-001,2
2024-01-04,S001,CEP-002,1
2024-01-04,S001,CEP-003,1
2024-01-04,S001,CEP-004,1
2024-01-04,S001,CEP-005,2
2024-01-04,S002,ESM-001,1
2024-01-04,S002,ESM-002,2
2024-01-04,S002,ESM-003,3
2024-01-04,S002,ESM-004,3
2024-01-04,S002,ESM-005,2
2024-01-04,S002,ESM-006,1
2024-01-04,S002,ESM-007,0
2024-01-04,S002,ESM-008,2
2024-01-04,S002,ESM-009,0
2024-01-04,S002,ESM-010,2
2024-01-04,S002,DES-001,3
2024-01-04,S002,DES-002,8
2024-01-04,S002,DES-003,6
2024-01-04,S002,DES-004,6
2024-01-04,S002,DES-005,5
2024-01-04,S002,DES-006,5
2024-01-04,S002,DES-007,4
2024-01-04,S002,DES-008,5
2024-01-04,S002,DES-009,6
2024-01-04,S002,DES-010,6
2024-01-04,S002,DES-011,6
2024-01-04,S002,DES-012,9
2024-01-04,S002,DES-013,10
2024-01-04,S002,DES-014,5
2024-01-04,S002,DES-015,8
2024-01-04,S002,TAL-001,2
2024-01-04,S002,TAL-002,1
2024-01-04,S002,TAL-003,1
2024-01-04,S002,TAL-004,1
2024-01-04,S002,TAL-005,1
2024-01-04,S002,TAL-006,2
2024-01-04,S002,TAL-007,1
2024-01-04,S002,TAL-008,1
2024-01-04,S002,SIE-001,1
2024-01-04,S002,SIE-002,1
2024-01-04,S002,SIE-003,1
2024-01-04,S002,SIE-004,0
2024-01-04,S002,SIE-005,0
2024-01-04,S002,SIE-006,0
2024-01-04,S002,CEP-001,2
2024-01-04,S002,CEP-002,2
2024-01-04,S002,CEP-003,1
2024-01-04,S002,CEP-004,1
2024-01-04,S002,CEP-005,1
2024-01-04,S003,ESM-001,1
2024-01-04,S003,ESM-002,2
2024-01-04,S003,ESM-003,2
2024-01-04,S003,ESM-004,2
2024-01-04,S003,ESM-005,1
2024-01-04,S003,ESM-006,1
2024-01-04,S003,ESM-007,1
2024-01-04,S003,ESM-008,1
2024-01-04,S003,ESM-009,2
2024-01-04,S003,ESM-010,1
2024-01-04,S003,DES-001,5
2024-01-04,S003,DES-002,3
2024-01-04,S003,DES-003,3
2024-01-04,S003,DES-004,4
2024-01-04,S003,DES-005,5
2024-01-04,S003,DES-006,4
2024-01-04,S003,DES-007,4
2024-01-04,S003,DES-008,3
2024-01-04,S003,DES-009,4
2024-01-04,S003,DES-010,5
2024-01-04,S003,DES-011,2
2024-01-04,S003,DES-012,4
2024-01-04,S003,DES-013,4
2024-01-04,S003,DES-014,3
2024-01-04,S003,DES-015,2
2024-01-04,S003,TAL-001,0
2024-01-04,S003,TAL-002,1
2024-01-04,S003,TAL-003,1
2024-01-04,S003,TAL-004,1
2024-01-04,S003,TAL-005,1
2024-01-04,S003,TAL-006,0
2024-01-04,S003,TAL-007,0
2024-01-04,S003,TAL-008,1
2024-01-04,S003,SIE-001,0
2024-01-04,S003,SIE-002,0
2024-01-04,S003,SIE-003,1
2024-01-04,S003,SIE-004,1
2024-01-04,S003,SIE-005,0
2024-01-04,S003,SIE-006,1
2024-01-04,S003,CEP-001,1
2024-01-04,S003,CEP-002,1
