store_id,producto_id,categoria,days_of_supply,stock_total,demanda_promedio_diaria,accion,cantidad_pedir
S002,TAL-006,Taladros,7.777777777777778,7,0.9,OK,8.0
S002,TAL-001,Taladros,8.350515463917526,9,1.0777777777777777,OK,9.0
S002,SIE-004,Sierras electricas,8.4375,6,0.7111111111111111,OK,7.0
S002,TAL-007,Taladros,8.571428571428571,8,0.9333333333333333,OK,8.0
S004,TAL-004,Taladros,8.571428571428571,6,0.7,OK,6.0
S004,SIE-005,Sierras electricas,9.0,4,0.4444444444444444,OK,4.0
S001,SIE-002,Sierras electricas,9.130434782608695,7,0.7666666666666667,OK,6.0
S002,SIE-001,Sierras electricas,9.152542372881356,6,0.6555555555555556,OK,6.0
S003,SIE-004,Sierras electricas,9.183673469387756,5,0.5444444444444444,OK,4.0
S004,SIE-003,Sierras electricas,9.375,5,0.5333333333333333,OK,5.0
S003,SIE-006,Sierras electricas,9.473684210526315,4,0.4222222222222222,OK,3.0
S003,TAL-001,Taladros,9.473684210526317,6,0.6333333333333333,OK,6.0
S004,TAL-002,Taladros,9.473684210526317,6,0.6333333333333333,OK,6.0
S004,TAL-003,Taladros,9.545454545454547,7,0.7333333333333333,OK,5.0
S002,ESM-002,Esmeriles,9.692307692307692,14,1.4444444444444444,OK,11.0
S002,TAL-003,Taladros,9.801980198019802,11,1.1222222222222222,OK,8.0
S003,SIE-005,Sierras electricas,10.0,5,0.5,OK,4.0
S001,ESM-004,Esmeriles,10.0,14,1.4,OK,9.0
S002,ESM-009,Esmeriles,10.08,14,1.3888888888888888,OK,10.0
S001,TAL-006,Taladros,10.112359550561797,10,0.9888888888888889,OK,7.0
